table_name,field_name,language,translation,record_id
trips,trip_headsign,en,Futian,G5828
trips,trip_headsign,en,Guangzhounan,G6586
trips,trip_headsign,en,Shenzhenbei,G5648
trips,trip_headsign,en,Futian,G5814
trips,trip_headsign,en,Futian,G5830
trips,trip_headsign,en,Shenzhenbei,G5650
trips,trip_headsign,en,Futian,G5862
trips,trip_headsign,en,Futian,G5832
trips,trip_headsign,en,Shenzhenbei,G5652
trips,trip_headsign,en,Guangzhounan,G6588
trips,trip_headsign,en,Futian,G5824
trips,trip_headsign,en,Shenzhenbei,G5654
trips,trip_headsign,en,Futian,G5826
trips,trip_headsign,en,Shenzhenbei,G5680
trips,trip_headsign,en,Futian,G5866
trips,trip_headsign,en,Hong Kong West Kowloon,G5819
trips,trip_headsign,en,Hong Kong West Kowloon,G5625
trips,trip_headsign,en,Hong Kong West Kowloon,G5637
trips,trip_headsign,en,Hong Kong West Kowloon,G5821
trips,trip_headsign,en,Hong Kong West Kowloon,G5627
trips,trip_headsign,en,Hong Kong West Kowloon,G5639
trips,trip_headsign,en,Hong Kong West Kowloon,G5811
trips,trip_headsign,en,Hong Kong West Kowloon,G5629
trips,trip_headsign,en,Hong Kong West Kowloon,G6581
trips,trip_headsign,en,Hong Kong West Kowloon,G5815
trips,trip_headsign,en,Hong Kong West Kowloon,G5641
trips,trip_headsign,en,Hong Kong West Kowloon,G5631
trips,trip_headsign,en,Hong Kong West Kowloon,G5817
trips,trip_headsign,en,Hong Kong West Kowloon,G5643
trips,trip_headsign,en,Hong Kong West Kowloon,G5633
trips,trip_headsign,en,Hong Kong West Kowloon,G5857
trips,trip_headsign,en,Hong Kong West Kowloon,G6583
trips,trip_headsign,en,Hong Kong West Kowloon,G5645
trips,trip_headsign,en,Hong Kong West Kowloon,G5807
trips,trip_headsign,en,Hong Kong West Kowloon,G5621
trips,trip_headsign,en,Hong Kong West Kowloon,G5647
trips,trip_headsign,en,Hong Kong West Kowloon,G5809
trips,trip_headsign,en,Hong Kong West Kowloon,G5859
trips,trip_headsign,en,Hong Kong West Kowloon,G5623
trips,trip_headsign,en,Hong Kong West Kowloon,G5805
trips,trip_headsign,en,Hong Kong West Kowloon,G5635
trips,trip_headsign,en,Hong Kong West Kowloon,G5827
trips,trip_headsign,en,Hong Kong West Kowloon,G5649
trips,trip_headsign,en,Hong Kong West Kowloon,G5813
trips,trip_headsign,en,Hong Kong West Kowloon,G5829
trips,trip_headsign,en,Hong Kong West Kowloon,G6585
trips,trip_headsign,en,Hong Kong West Kowloon,G5651
trips,trip_headsign,en,Hong Kong West Kowloon,G5861
trips,trip_headsign,en,Hong Kong West Kowloon,G5831
trips,trip_headsign,en,Hong Kong West Kowloon,G5653
trips,trip_headsign,en,Hong Kong West Kowloon,G5823
trips,trip_headsign,en,Hong Kong West Kowloon,G5655
trips,trip_headsign,en,Hong Kong West Kowloon,G5825
